Transaction ID,Customer ID,Products Purchased,Quantity,Total Cost,Date
501,201,301;302,1;1,119.98,2025-03-01
502,202,402,1,16.2,2025-03-02
503,203,303,1,699.0,2025-03-03
504,204,406;405;409,1;1;1,40.79,2025-03-04
505,205,305;306,1;1,449.94,2025-03-05
506,206,307,2,498.0,2025-03-06
507,207,407,1,11.99,2025-03-07
508,208,308;301,1;2,99.97,2025-03-08
509,209,410;404,1;1,34.49,2025-03-08
510,210,309,3,179.97,2025-03-09
511,201,403,20,290.0,2025-04-01
512,201,410,1,-14.5,2025-04-01
513,201,410,2,31.0,2025-04-01
