Product ID,Name,Price,Description,Stock Quantity,Brand,Model,Warranty Period
301,Wireless Mouse,29.99,Ergonomic wireless mouse with 2.4GHz connection,150,Logitech,M185,12 months
302,Mechanical Keyboard,89.99,RGB backlit mechanical keyboard with blue switches,80,Keychron,K6,24 months
303,Smartphone,699.00,6.5-inch display, 128GB storage, dual camera system,35,Samsung,Galaxy A52,12 months
304,Noise Cancelling Headphones,199.99,Over-ear Bluetooth headphones with active noise cancellation,60,Sony,WH-1000XM4,24 months
305,4K Monitor,329.99,27-inch UHD IPS display with HDR support,20,Dell,U2723QE,36 months
306,Portable SSD,119.95,1TB USB-C external solid-state drive,100,Samsung,T7,36 months
307,Smartwatch,249.00,Fitness tracking watch with heart rate and GPS,40,Garmin,Forerunner 55,12 months
308,Laptop Stand,39.99,Adjustable aluminum stand for laptops up to 17 inches,200,Rain Design,mStand,12 months
309,Electric Toothbrush,59.99,Rechargeable toothbrush with 3 brushing modes,75,Philips,Sonicare 4100,24 months
310,Air Fryer,129.00,5.8-quart capacity air fryer with digital controls,50,Ninja,AF101,12 months
