Product ID,Name,Price,Description,Stock Quantity,Author,ISBN,Publisher,Genre
401,The Midnight Library,13.99,A novel about choices regrets and parallel lives,120,Matt Haig,9780525559474,Canongate Books,Fiction
402,Atomic Habits,16.2,A guide to building good habits and breaking bad ones,200,James Clear,9780735211292,Avery,Self-Help
403,Educated,14.5,A memoir of a woman who leaves her survivalist family and goes on to earn a PhD,75,Tara Westover,9780399590504,Random House,Memoir
404,Project Hail Mary,18.99,A sci-fi thriller about a lone astronaut on a mission to save Earth,75,Andy Weir,9780593135204,Ballantine Books,Science Fiction
405,Becoming,17.0,An intimate memoir by the former First Lady of the United States,80,Michelle Obama,9781524763138,Crown,Autobiography
406,The Silent Patient,12.8,A psychological thriller about a woman's act of violence against her husband—and the therapist obsessed with uncovering her motive,110,Alex Michaelides,9781250301697,Macmillan,Thriller
407,Where the Crawdads Sing,11.99,A mystery and coming-of-age novel set in the marshes of North Carolina,140,Delia Owens,9780735219106,G.P. Putnam's Sons,Mystery
408,Sapiens: A Brief History of Humankind,19.95,A look at the history of the human species from ancient times to today,130,Yuval Noah Harari,9780062316097,Harper,History
409,The Alchemist,10.99,A philosophical story about a shepherd's journey to find his destiny,160,Paulo Coelho,9780061122415,HarperOne,Fiction
410,Dune,15.5,A science fiction epic about politics religion and survival on a desert planet,87,Frank Herbert,9780441013593,Ace,Science Fiction
